,sentence,prediction,gold
16,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] proves [SEP],"['C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', 'ARG0', 'V', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
17,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] has [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
18,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] lost [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_']"
19,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] hope [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', 'ARG1', '_', '_']"
20,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] peace [SEP],"['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_']"
21,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] make [SEP]","['C-V', 'ARGM-TMP', '_', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', 'V', 'ARGM-PRR', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
22,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] mistakes [SEP]","['C-V', 'ARGM-TMP', 'V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG0', 'ARGM-LVB', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
23,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] suppose [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'ARGM-TMP', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', 'ARGM-ADV', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
24,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] be [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'C-V', 'C-V', 'C-V', 'ARGM-REC', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MOD', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
25,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] wave [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', '_']"
26,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] attacks [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARGM-CXN', 'C-ARGM-CXN', 'ARGM-LVB', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARG0', 'V', '_', '_']"
27,"[CLS] in the eastern city of baqubah, guerrillas detonated a car bomb outside a police station, killing several people. [SEP] detonated [SEP]","['C-V', 'C-V', 'C-V', 'ARGA', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', 'ARGM-LOC', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', 'ARGM-LOC', '_', 'ARGM-ADV', '_', '_', '_', '_']"
28,"[CLS] in the eastern city of baqubah, guerrillas detonated a car bomb outside a police station, killing several people. [SEP] killing [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', 'ARG1', '_', '_']"
29,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] lost [SEP]","['C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', 'ARG3', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
30,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] fire [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARGM-CXN', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', 'V', '_', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
31,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] was [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARG1', 'C-V', 'ARGM-LVB', '_', 'R-ARGM-MNR', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', 'V', 'ARG2', '_', '_']"
32,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] safe [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARG1', 'C-V', 'ARGM-LVB', 'C-V', '_', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', '_', 'V', '_', '_']"
33,"[CLS] in fallujah, hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride. [SEP] came [SEP]","['C-V', 'C-ARG1', 'C-V', 'C-ARG1', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-ARG1', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', '_', 'ARG1', '_', '_', 'V', 'ARGM-DIR', '_', '_', 'ARGM-PRD', '_', '_', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_']"
34,"[CLS] in fallujah, hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride. [SEP] arrested [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARG1', 'ARGM-TMP', 'C-ARG1', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', 'ARG0', 'ARGM-TMP', 'V', '_', '_', '_', '_', '_', 'ARG1', '_', '_']"
35,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] hope [SEP]","['C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'ARG0', 'V', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-CAU', 'ARGM-CAU', '_', '_', '_']"
36,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] got [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'ARGM-LVB', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
37,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] move [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
38,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] was [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-COM', 'C-V', 'ARGM-LVB', '_', 'C-V', 'C-V', 'C-V', 'C-V', 'R-ARGM-MNR', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', 'ARG1', 'V', '_', '_', '_', '_', 'ARG2', 'ARG2', '_', '_', '_']"
39,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] tradeoff [SEP]","['C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-ARGM-CXN', '_', '_', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', '_', 'ARGM-ADJ', 'V', 'V', '_', '_', '_', '_']"
40,"[CLS] the us troops fired into the hostile crowd, killing 4. [SEP] fired [SEP]","['C-V', 'C-V', 'ARGM-TMP', '_', 'C-V', 'C-V', 'C-V', 'R-ARGM-MNR', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', '_', 'ARG0', 'V', '_', '_', '_', 'ARGM-GOL', '_', 'ARGM-ADV', '_', '_', '_']"
41,"[CLS] the us troops fired into the hostile crowd, killing 4. [SEP] killing [SEP]","['C-V', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', '_', 'ARGM-LVB', 'C-V', 'C-V']","['_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_']"
42,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] seems [SEP]","['C-V', '_', 'R-ARGM-MNR', 'C-V', 'ARGM-TMP', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V', 'C-V']","['_', 'V', 'ARG1', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'C-ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']"
