,sentence,prediction,gold
11,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] be killed years [SEP]","['ARG1', 'ARGM-MOD', '_', 'V', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-TMP']","['ARG1', 'ARGM-MOD', '_', 'V', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
12,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] israelians have all [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', 'ARGM-CAU', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARG0', 'V', '_']"
13,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] he founded and [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']"
14,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] he is the [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
15,"[CLS] he could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of hamas, but they didn't. [SEP] they didn't [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', 'V', '_', '_', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', 'V', '_', '_', '_']"
16,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] incident proves that [SEP],"['ARGM-TMP', '_', '_', 'ARG0', 'V', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', 'ARG0', 'V', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']"
17,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] sharon has lost [SEP],"['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
18,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] has lost his [SEP],"['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', 'ARG0', '_', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
19,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] his hope in [SEP],"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', 'ARG2', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', 'ARG1', '_', '_', 'V', '_']"
20,[CLS] today's incident proves that sharon has lost his patience and his hope in peace. [SEP] in peace. [SEP],"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', 'V', '_']"
21,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] people make mistakes [SEP]","['_', 'ARG0', 'V', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', 'ARG1']","['_', '_', 'V', 'ARGM-PRR', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-PRR']"
22,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] make mistakes, [SEP]","['_', 'ARG0', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', 'ARG0', 'ARGM-LVB', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-LVB', 'V', '_']"
23,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] i suppose there [SEP]","['_', '_', '_', '_', '_', 'ARGM-ADV', 'ARG0', 'V', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', 'ARGM-ADV', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']"
24,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] will be a [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MOD', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MOD', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MOD', 'V', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MOD', 'V', '_']"
25,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] a wave of [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', 'ARG1', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARG1', '_', '_', 'V', '_']"
26,"[CLS] nervous people make mistakes, so i suppose there will be a wave of succesfull arab attacks. [SEP] arab attacks. [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'ARGM-ADJ', 'ARG0', 'V', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARGM-MNR', 'ARG0', 'V', '_', 'ARG0', 'V', '_']"
27,"[CLS] in the eastern city of baqubah, guerrillas detonated a car bomb outside a police station, killing several people. [SEP] guerrillas detonated a [SEP]","['_', '_', '_', 'ARGM-LOC', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', 'ARGM-LOC', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', 'ARGM-LOC', '_', 'ARGM-ADV', '_', '_', '_', 'ARG0', 'V', '_']"
28,"[CLS] in the eastern city of baqubah, guerrillas detonated a car bomb outside a police station, killing several people. [SEP], killing several [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', 'ARG1', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', 'ARG1', '_', '_', 'V', '_']"
29,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] us lost yet [SEP]","['_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-LOC', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', 'ARG3', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']"
30,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] hostile fire near [SEP]","['_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', 'V', '_', '_', '_', '_', 'ARG2', '_', '_', '_', 'ARGM-LOC', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', 'V', '_', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', 'V', '_']"
31,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] crew was safe [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', 'V', 'ARG2', '_', 'ARG1', 'V', 'ARG2']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', 'V', 'ARG2', '_', 'ARG1', 'V', 'ARG2']"
32,"[CLS] the us lost yet another helicopter to hostile fire near habbaniyah in the sunni heartland, but this time the crew was safe. [SEP] was safe. [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', '_', 'V', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', 'ARG1', '_', 'V', '_', '_', 'V', '_']"
33,"[CLS] in fallujah, hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride. [SEP] demonstrators came out [SEP]","['_', 'ARGM-TMP', '_', 'ARGM-TMP', '_', 'ARG1', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'V', '_']","['_', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', '_', 'ARG1', '_', '_', 'V', 'ARGM-DIR', '_', '_', 'ARGM-PRD', '_', '_', '_', 'ARGM-TMP', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-DIR']"
34,"[CLS] in fallujah, hundreds of demonstrators came out against us troops when they briefly arrested a yound newlywed bride. [SEP] briefly arrested a [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', 'ARG0', 'ARGM-TMP', 'V', '_', '_', '_', '_', '_', 'ARG1', '_', 'ARGM-TMP', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-TMP', 'ARG0', 'ARGM-TMP', 'V', '_', '_', '_', '_', '_', 'ARG1', '_', 'ARGM-TMP', 'V', '_']"
35,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] i hope that [SEP]","['_', 'ARG0', 'V', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', 'ARG0', 'V', '_', '_', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-CAU', 'ARGM-CAU', '_', '_', 'ARG0', 'V', '_']"
36,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] army got an [SEP]","['_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG0', 'V', '_']"
37,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] this move was [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
38,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] move was a [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', 'ARG1', 'V', '_', '_', '_', '_', 'ARG2', 'ARG2', '_', '_', 'ARG1', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADV', '_', 'ARG1', 'V', '_', '_', '_', '_', 'ARG2', 'ARG2', '_', '_', 'ARG1', 'V', '_']"
39,"[CLS] ( i hope that the us army got an enormous amount of information from her relatives, because otherwise this move was a bad, bad tradeoff ). [SEP] bad tradeoff ) [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', '_', 'ARGM-ADJ', 'V', 'V', '_', '_', 'ARGM-ADJ', 'V', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARGM-ADJ', '_', 'ARGM-ADJ', 'V', 'V', '_', '_', 'ARGM-ADJ', 'V', 'V', '_']"
40,"[CLS] the us troops fired into the hostile crowd, killing 4. [SEP] troops fired into [SEP]","['_', '_', 'ARG0', 'V', '_', '_', '_', 'ARG2', '_', '_', '_', '_', 'ARG0', 'V', '_']","['_', '_', 'ARG0', 'V', '_', '_', '_', 'ARGM-GOL', '_', 'ARGM-ADV', '_', '_', 'ARG0', 'V', '_']"
41,"[CLS] the us troops fired into the hostile crowd, killing 4. [SEP], killing 4 [SEP]","['_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', 'V', 'ARG1']","['_', '_', 'ARG0', '_', '_', '_', '_', '_', '_', 'V', 'ARG1', '_', '_', 'V', 'ARG1']"
42,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] it seems clear [SEP]","['_', 'V', 'ARG2', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG2']","['_', 'V', 'ARG1', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'C-ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG1']"
43,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] seems clear to [SEP]","['_', '_', 'V', '_', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['ARG1', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
44,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] heartland is being [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
45,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] is being done [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
46,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] being done wrong [SEP]","['_', '_', '_', '_', '_', '_', '_', 'ARG1', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-MNR', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', 'ARG1', 'ARG1', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-MNR', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARGM-MNR']"
47,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] in ways that [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_', '_', 'ARG1', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', '_']"
48,"[CLS] it seems clear to me that the manhunt for high baath officials in the sunni heartland is being done wrong, or at least in ways that are bad for us standing with local iraqis. [SEP] that are bad [SEP]","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'R-ARG1', 'V', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', 'R-ARG1', 'V', 'ARG2']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'ARG1', 'R-ARG1', 'V', 'ARG2', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'V', 'ARG2']"
